,Cancer_Q
9596,How to know if I have cancer or am i being paranoid?
9597,How to support someone who is dealing with a tumor on the lung?
9598,How would I go to a charity program for cervical cancer screening?
9599,"I am 28, and I have been diagnosed with breast cancer. Any good idea on how I should spend the rest of my life?"
9600,I am(23) testicular cancer patient can I eligible for marriage?
9601,I need to know what is the obsession with breast cancer awareness?
9602,I read one news about parathyroid cancer. Is it a common condition?
9603,I'm looking for inspiration for family's dealing with cancer?
9604,"If ca 125 is normal, am I free from cancer or is the cancer hiding?"
9605,Information on surgical oncology and cancer research?
9606,Is adbocare safe for cancer survivors?
9607,Is assistance available for a person who needs a colon cancer screen but is uninsured?
9608,Is cancer psychologically based?
9609,Is developing a new cancer drug science or nanotechnology?
9610,Is gum cancer extreamly rare in england and states dr?
9611,Is it safe to work as a social worker in a radiation oncology cancer unit while pregnant?
9612,Is squamous cell cancer considered a disability for social security?
9613,Is there a genetic aspect to esophegian cancer and what approach should one take to monitoring?
9614,Is there a genetic link relating to adenocarcinoma of the lung?
9615,Is there a melanoma cancer walk or a melanoma society?
9616,Is there a national organization for paget's disease patients?
9617,Looking for some cancer care-giver's advice or website?
9618,Metastatic liver cancer - do you know a medical center that does the most research in that area?
9619,My dad has cancer and was desperate to find someone to help. What are good resources?
9620,My father is ostensibly inflicted to melanoma. Could you give me an idea of the best treatment centers for melanoma in the world?
9621,Percentage of lumg cancer survivors?
9622,Please describe a good birthday gift for a cancer patient?
9623,Please describe a good idea for a breast cancer awareness event/fundraiser in a small local town?
9624,Please explain what are the most accurate and honest statistics of surviving stage 3 breast cancer?
9625,Please help! What is the relationship between olig2 and cancer?
9626,Please help? Is the cancer symbol a daffodil?
9627,Please tell me what all is involved for becoming an advocate for lung cancer?
9628,"Please tell me, are there any other cancer fighters on here?"
9629,The US National Cancer's Institutes SEER database (2007-11)shows a 43.31% chance of a male being diagnosed with cancer in his lifetime. Really true?
9630,"Tonsil cancer fear, how do I find out if I have it?"
9631,Tragic. How to cope with friend with metastatic melanoma?
9632,Views on the Rife Machine and cancer?
9633,What are good ways to prepare for the avon walk for breast cancer?
9634,What are some books to help my father cope with oral cancer?
9635,What are some good breast cancer awareness songs?
9636,What are some good exercises for a cancer survivor postop?
9637,What are some ways to better fund the various forms of childhood cancer programs in the community?
9638,What are some ways you can support a person who has cancer?
9639,What are the benefits of recording sessions with my  cancer doctor?
9640,What are the best cancer centers in Canada? How about in Vancouver? The cancer in question is Colorectal cancer. Thank you!
9641,What breast cancer awareness events are on television?
9642,What can I do to conquer my hypochondria and fear of colon cancer?
9643,What can I do to prepare for charity walks that help kidney cancer?
9644,What can a family member/caretaker expect in caring for an end stage lung/adrenal cancer patient?
9645,What can cause cancer in the environment?
9646,"What cancer charity is there that fights cancer in men, women, and children equally?"
9647,What do doctors think is the top organization to donate to for heart and lung cancer research?
9648,"What do you suggest if my mother is dying from cancer, she needs tomotherapy. Which organization can finance tomotherapy?"
9649,What do you suggest if my mother is dying from tumour in the lungs. which organization can finance tomotherapy?
9650,What do you suggest if my wife has survived stage 4 cancer is there any organization that will do something for her?
9651,What is a medical defense against cancer?
9652,What is being done to prevent childhood cancer? I am doing a speech on childhood cancer and this would be very useful. Thank you
9653,What is the best cancer hospital?
9654,What is the best cancer joke that you've told a patient?
9655,What is the best way that you have found to offer comfort 4 family members of a terminally ill cancer patient?
9656,What is the best way to deal with anxiety after breast cancer?
9657,What is the lifestyle with cancer?
9658,What is the most recent bioengineerin approach to heart cancer?
9659,What is the newest biomedical approach to heart cancer?
9660,What is the normal reaction to living with cancer?
9661,What is the relationship between cancer and oxygenation?
9662,What is the relationship between mitosis and cancer?
9663,What is the universal sign for cancer survivor?
9664,What is your opinion about the american cancer society recommending neonatal circumcision due to penile cancer?
9665,What kind of doctor helps kids with cancer and or progeria (hgps)?
9666,What number of kids with cancer in a hospital?
9667,What organization to donate to help with curing cancer?
9668,What should I do to help my students with breast cancer awareness?
9669,What should I do to my cancer phobia?
9670,"What to do if I have intented a formula that can cure first stage of breast cancer, how can I share it to the world?"
9671,"What to do if i may have cancer, and no one believes me?"
9672,What to do if i need some ideas for a raise fund in my school to help breast cancer awareness?
9673,What would be the most common ideas to help someone celebrate becoming cancer free?
9674,What's new in anal cancer research?
9675,What's new in thymus cancer research?
9676,What's the most common cancer staging system in north america?
9677,What's the relationship between aspartame and cancer?
9678,When are you officially a survivor of cancer?
9679,Where can I find data on cancer rates  per field of occupation?
9680,Where can I find information about participating in the avon breast cancer walk?
9681,Which things do cancer patients needs from loved ones?
9682,Why can cancer be emotionally valuable?
9683,Why do my friends from china say many of their relatives are dying from cancer?
9684,Why do some payor's deny the fact that cancer is genetic?
9685,Why does breast cancer awareness get an entire month of recognition?
9686,Why does breast cancer get more publicity? Is it the numbers or the komen foundation?
9687,Why is cancer an increasingly common health concern nowadays?
9688,"With all the new chemotherapies coming out of asco, can we win the war on cancer?"
9689,11 yr old has long lump in breast. What is it? Very worried.
9690,"33 years old clear mammo 4 months ago, recently found pea sized lump in breast and chest pain. Can mammo be wrong?"
9691,Any causes of breast lumps besides cancer? What would they be and what is done about other kinds of lumps?
9692,Are all lumps in the breast diagnosed as cancer? Can some lumps be benign?
9693,Are breast cancer lumps round?
9694,Are breast-cancer lumps painful to have?
9695,Are cancerous breast lumps painful?
9696,"Are clinical breast exams effective for palpable lumps, even if small- but feelable?"
9697,Are lumps behind a man's nipple symptom of gynecomastia or cancer?
9698,Are lumps beneath the nipples normal?
9699,Are malignant breast lumps usually movable?
9700,Are mammograms painful?
9701,Are very painful breast lumps associated with cancer?
9702,"Armpit lump pain, family history of breast cancer. Can it be seen or biopsied?"
